,filename,ATTRIBUTE_Species,ATTRIBUTE_Sppart,Sample_specificity,FC,Reported_comp_Species,Reported_comp_Genus,LC,SC,New_in_species,New_in_genus,CC,PR
39,LQ-01-61-12_pos.mzXML,Evonymopsis sp,Evonymopsis sp|Leaves,0.6123595505617978,0.5449438202247191,0,0.0,1,0.0,,,0.0,1.5449438202247192
40,LQ-01-61-32_pos.mzXML,Euonymus frigidus,Euonymus frigidus|Stems,0.5938461538461538,0.5353846153846153,0,0.0,1,0.0,,,0.0,1.5353846153846153
41,LQ-01-61-43_pos.mzXML,Gymnosporia buchananii,Gymnosporia buchananii|Leaves,0.6277777777777778,0.5277777777777778,25,292.0,0,0.0,"{'Kavalactones and derivatives', 'Oleanane triterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Kaurane and Phyllocladane diterpenoids', 'Aminoacids', 'Flavonols', 'Polyamines', 'Tetraketide meroterpenoids', 'Glycerophosphocholines', 'Germacrane sesquiterpenoids', 'Flavan-3-ols', 'Flavones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids', 'Unsaturated fatty acids', 'Flavanones', 'Prenyl quinone meroterpenoids', 'Simple phenolic acids', 'Pregnane steroids', 'Sphingoid bases', 'Fatty alcohols', 'Imidazole alkaloids', 'Arteminisin', 'Fusidane triterpenoids', 'Pyrimidine nucleosides', 'Ergostane steroids', 'Androstane steroids', 'Cyanogenic glycosides', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Dipeptides', 'Megastigmanes', 'Glucosinolates', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Primary amides', 'Isoquinoline alkaloids'}","{'Kavalactones and derivatives', 'Lupane triterpenoids', 'Kaurane and Phyllocladane diterpenoids', 'Flavonols', 'Polyamines', 'Germacrane sesquiterpenoids', 'Tetraketide meroterpenoids', 'Glycerophosphocholines', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Flavones', 'Other Octadecanoids', 'Primary amides', 'Flavanones', 'Prenyl quinone meroterpenoids', 'Sphingoid bases', 'Imidazole alkaloids', 'Arteminisin', 'Fusidane triterpenoids', 'Pyrimidine nucleosides', 'Ergostane steroids', 'Androstane steroids', 'Cyanogenic glycosides', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Dipeptides', 'Megastigmanes', 'Glucosinolates', 'Secoiridoid monoterpenoids', 'Cyclic peptides', 'Pregnane steroids', 'Isoquinoline alkaloids'}",1.0,1.5277777777777777
43,LQ-01-61-46_pos.mzXML,Maytenus inermis,Maytenus inermis|Leaves,0.5727272727272728,0.509090909090909,0,0.0,1,0.0,,,0.0,1.509090909090909
44,LQ-01-61-64_pos.mzXML,Pleurostylia pachyphloea,Pleurostylia pachyphloea|Leaves,0.5722543352601156,0.5028901734104047,0,0.0,1,0.0,,,0.0,1.5028901734104045
47,LQ-01-61-59_pos.mzXML,Microtropis triflora,Microtropis triflora|Leaves,0.5491803278688525,0.4918032786885246,15,214.0,0,0.0,"{'Kavalactones and derivatives', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Irregular monoterpenoids', 'Menthane monoterpenoids', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Carboline alkaloids', 'Hydroxy fatty acids', 'Quinazoline alkaloids', 'Estrane steroids', 'Polyether ionophores', 'Androstane steroids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Cyclic peptides', 'Pyridine alkaloids', 'Primary amides', 'Piperidine alkaloids', 'Pyrimidine nucleotides', 'Erythromycins'}","{'Kavalactones and derivatives', 'Fatty acyl glycosides of mono- and disaccharides', 'Simple coumarins', 'Cyclophytane diterpenoids', 'Prostaglandins', 'Irregular monoterpenoids', 'Menthane monoterpenoids', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Carboline alkaloids', 'Hydroxy fatty acids', 'Quinazoline alkaloids', 'Estrane steroids', 'Polyether ionophores', 'Androstane steroids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Iridoids monoterpenoids', 'Cyclic peptides', 'Pyridine alkaloids', 'Primary amides', 'Piperidine alkaloids', 'Pyrimidine nucleotides', 'Erythromycins'}",1.0,1.4918032786885247
49,LQ-01-61-67_pos.mzXML,Salacia chinensis,Salacia chinensis|Roots,0.5688622754491018,0.47904191616766467,307,509.0,0,0.0,"{'Labdane diterpenoids', 'Aminoacids', 'Tetraketide meroterpenoids', 'Apocarotenoids (β-)', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids', 'Bisnaphthalenes', 'Norlabdane diterpenoids', 'Cyclamides', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Pregnane steroids', 'Cholane steroids', 'Fusidane triterpenoids', 'Monocyclic monoterpenoids', 'Serratane triterpenoids', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Apocarotenoids (Ψ-)', 'Pyridine alkaloids', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Aminoacids', 'Tetraketide meroterpenoids', 'Apocarotenoids (β-)', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids', 'Bisnaphthalenes', 'Primary amides', 'Norlabdane diterpenoids', 'Cyclamides', 'Straight chain fatty acids', 'Daucane sesquiterpenoids', 'Cholane steroids', 'Fusidane triterpenoids', 'Monocyclic monoterpenoids', 'Serratane triterpenoids', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Apocarotenoids (Ψ-)', 'Pyridine alkaloids', 'Pregnane steroids', 'Fatty aldehydes'}",1.0,1.4790419161676647
52,LQ-01-61-02_pos.mzXML,Catha edulis,Catha edulis|Stems,0.49514563106796117,0.46601941747572817,133,133.0,0,0.0,"{'Labdane diterpenoids', 'Androstane steroids', 'Oleanane triterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Cholestane steroids', 'Depsipeptides', 'Hydroxy fatty acids', 'Dipeptides', 'Estrane steroids', 'Ursane and Taraxastane triterpenoids', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Cholane steroids', 'Lanostane, Tirucallane and Euphane triterpenoids'}","{'Labdane diterpenoids', 'Androstane steroids', 'Oleanane triterpenoids', 'Lupane triterpenoids', 'Simple coumarins', 'Cholestane steroids', 'Depsipeptides', 'Hydroxy fatty acids', 'Dipeptides', 'Open-chain polyketides', 'Ursane and Taraxastane triterpenoids', 'Tetraketide meroterpenoids', 'Estrane steroids', 'Cholane steroids', 'Lanostane, Tirucallane and Euphane triterpenoids'}",1.0,1.4660194174757282
53,LQ-01-61-61_pos.mzXML,Mystroxylon aethiopicum,Mystroxylon aethiopicum|Leaves,0.5178571428571429,0.4642857142857143,0,0.0,1,0.0,,,0.0,1.4642857142857144
54,LQ-01-61-01_pos.mzXML,Catha edulis,Catha edulis|Leaves,0.49242424242424243,0.45454545454545453,133,133.0,0,0.0,"{'Oleanane triterpenoids', 'Lupane triterpenoids', 'Corynanthe type', 'Ceramides', 'Hydroxy fatty acids', 'Cyclic peptides', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Primary amides', 'Simple phenolic acids', 'Apocarotenoids (β-)', 'Polyether ionophores', 'Piperidine alkaloids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids'}","{'Oleanane triterpenoids', 'Lupane triterpenoids', 'Corynanthe type', 'Ceramides', 'Hydroxy fatty acids', 'Cyclic peptides', 'Iridoids monoterpenoids', 'Dicarboxylic acids', 'Primary amides', 'Simple phenolic acids', 'Apocarotenoids (β-)', 'Polyether ionophores', 'Piperidine alkaloids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids'}",1.0,1.4545454545454546
55,LQ-01-61-66_pos.mzXML,Salacia chinensis,Salacia chinensis|Branche,0.5238095238095238,0.4444444444444444,307,509.0,0,0.0,"{'Depsides and depsidones', 'Totarane diterpenoids', 'Abietane diterpenoids', 'Serratane triterpenoids', 'Cholestane steroids', 'Depsipeptides', 'Hydroxy fatty acids', 'Aminoacids', 'Dipeptides', 'Anthraquinones and anthrones', 'Diacylglycerols', 'Phenazine alkaloids', 'Dicarboxylic acids', 'Estrane steroids', 'Cholane steroids', 'Chromones', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Other Octadecanoids'}","{'Depsides and depsidones', 'Totarane diterpenoids', 'Abietane diterpenoids', 'Serratane triterpenoids', 'Cholestane steroids', 'Depsipeptides', 'Hydroxy fatty acids', 'Aminoacids', 'Dipeptides', 'Diacylglycerols', 'Phenazine alkaloids', 'Dicarboxylic acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Estrane steroids', 'Cholane steroids', 'Chromones', 'Anthraquinones and anthrones', 'Other Octadecanoids'}",1.0,1.4444444444444444
56,LQ-01-61-04_pos.mzXML,Catha edulis,Catha edulis|Aerial_parts,0.4632768361581921,0.4350282485875706,133,133.0,0,0.0,"{'Lupane triterpenoids', 'Corynanthe type', 'Triketide meroterpenoids', 'Prostaglandins', 'Ursane and Taraxastane triterpenoids', 'Germacrane sesquiterpenoids', 'Tetraketide meroterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Nitro fatty acids', 'Cholestane steroids', 'Simple oxindole alkaloids', 'Drimane sesquiterpenoids', 'Arylnaphthalene and aryltetralin lignans', 'Cyclamides', 'Dicarboxylic acids', 'Simple phenolic acids', 'Chromones', 'Daucane sesquiterpenoids', 'Yohimbine-like alkaloids', 'Cholane steroids', '3-Spirotetramic acids', 'Cucurbitane triterpenoids', 'Ergostane steroids', 'Fusidane triterpenoids', 'Humulane sesquiterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Isoquinoline alkaloids', 'Piperidine alkaloids'}","{'Lupane triterpenoids', 'Corynanthe type', 'Triketide meroterpenoids', 'Prostaglandins', 'Ursane and Taraxastane triterpenoids', 'Tetraketide meroterpenoids', 'Germacrane sesquiterpenoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Nitro fatty acids', 'Cholestane steroids', 'Simple oxindole alkaloids', 'Drimane sesquiterpenoids', 'Arylnaphthalene and aryltetralin lignans', 'Cyclamides', 'Dicarboxylic acids', 'Simple phenolic acids', 'Daucane sesquiterpenoids', 'Chromones', 'Isoquinoline alkaloids', 'Cholane steroids', '3-Spirotetramic acids', 'Cucurbitane triterpenoids', 'Ergostane steroids', 'Fusidane triterpenoids', 'Humulane sesquiterpenoids', 'Cyanogenic glycosides', 'Dipeptides', 'Quinoline alkaloids', 'Yohimbine-like alkaloids', 'Piperidine alkaloids'}",1.0,1.4350282485875705
57,LQ-01-61-10_pos.mzXML,Elaeodendron schweinfurthianum,Elaeodendron schweinfurthianum|Leaves,0.5043478260869565,0.43478260869565216,0,0.0,1,0.0,,,0.0,1.434782608695652
58,LQ-01-61-53_pos.mzXML,Gymnosporia senegalensis,Gymnosporia senegalensis|Stems,0.49206349206349204,0.42857142857142855,46,292.0,0,0.0,"{'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Polyamines', 'Open-chain polyketides', 'Hydrocarbons', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Branched fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Sphingoid bases', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Amino cyclitols', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Iridoids monoterpenoids', 'Primary amides'}","{'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Polyamines', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Hydrocarbons', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Branched fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Sphingoid bases', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Iridoids monoterpenoids', 'Amino cyclitols'}",1.0,1.4285714285714286
59,LQ-01-61-53_pos.mzXML,Gymnosporia senegalensis,Gymnosporia senegalensis|Stems,0.49206349206349204,0.42857142857142855,31,292.0,0,0.0,"{'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Polyamines', 'Open-chain polyketides', 'Hydrocarbons', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Branched fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Sphingoid bases', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Amino cyclitols', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Iridoids monoterpenoids', 'Primary amides'}","{'Fatty acyl glycosides of mono- and disaccharides', 'Ceramides', 'Polyamines', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Hydrocarbons', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Branched fatty acids', 'Cholestane steroids', 'Diacylglycerols', 'Sphingoid bases', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Cyanogenic glycosides', 'Carotenoids (C40, β-β)', 'Iridoids monoterpenoids', 'Amino cyclitols'}",1.0,1.4285714285714286
60,LQ-01-61-18_pos.mzXML,Euonymus bockii,Euonymus bockii|Stems,0.43902439024390244,0.4268292682926829,0,0.0,1,0.0,,,0.0,1.4268292682926829
61,LQ-01-61-11_pos.mzXML,Elaeodendron schweinfurthianum,Elaeodendron schweinfurthianum|Stems,0.4881516587677725,0.4265402843601896,0,0.0,1,0.0,,,0.0,1.4265402843601895
63,LQ-01-61-16_pos.mzXML,Euonymus alatus,Euonymus alatus|Leaves,0.49586776859504134,0.4214876033057851,93,515.0,0,0.0,"{'Anthocyanidins', 'Other Eicosanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Flavones', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Other Docosanoids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Amino fatty acids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Macrolide lactones', 'Estrane steroids', '3-Spirotetramic acids', 'Androstane steroids', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Pregnane steroids', 'Piperidine alkaloids'}","{'Anthocyanidins', 'Other Eicosanoids', 'Simple coumarins', 'Prostaglandins', 'Aminoacids', 'Polyamines', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Unsaturated fatty acids', 'Flavones', 'Other Octadecanoids', 'Other Docosanoids', 'Triacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Amino fatty acids', 'Dicarboxylic acids', 'Daucane sesquiterpenoids', 'Fatty alcohols', 'Tetracyclic diterpenoids', 'N-acyl amines', 'Macrolide lactones', 'Estrane steroids', '3-Spirotetramic acids', 'Androstane steroids', 'Apocarotenoids(ε-)', 'Aminoglycosides', 'Pregnane steroids', 'Piperidine alkaloids'}",1.0,1.421487603305785
66,LQ-01-61-71_pos.mzXML,Salacia chinensis,Salacia chinensis|Indeterminated,0.48672566371681414,0.40707964601769914,307,509.0,0,0.0,"{'Chalcones', 'Fatty acyl glycosides of mono- and disaccharides', 'Phenylalanine-derived alkaloids', 'Steroidal alkaloids', 'Prostaglandins', 'Aminoacids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids', 'Monoacylglycerols', 'Isocoumarins', 'Cholestane steroids', 'Dicarboxylic acids', 'Lactarane sesquiterpenoids', 'Imidazole alkaloids', 'Cholane steroids', 'Arteminisin', 'Cyanogenic glycosides', 'Jasmonic acids', 'Dipeptides', 'Iridoids monoterpenoids', 'Simple indole alkaloids', 'Primary amides'}","{'Chalcones', 'Phenylalanine-derived alkaloids', 'Fatty acyl glycosides of mono- and disaccharides', 'Steroidal alkaloids', 'Prostaglandins', 'Aminoacids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Caryophyllane sesquiterpenoids', 'Monoacylglycerols', 'Isocoumarins', 'Cholestane steroids', 'Dicarboxylic acids', 'Lactarane sesquiterpenoids', 'Imidazole alkaloids', 'Cholane steroids', 'Arteminisin', 'Cyanogenic glycosides', 'Jasmonic acids', 'Dipeptides', 'Iridoids monoterpenoids', 'Simple indole alkaloids', 'Primary amides'}",1.0,1.407079646017699
67,LQ-01-61-34_pos.mzXML,Euonymus myrianthus,Euonymus myrianthus|Roots,0.41875,0.40625,0,0.0,1,0.0,,,0.0,1.40625
70,LQ-01-61-36_pos.mzXML,Euonymus myrianthus,Euonymus myrianthus|Leaves,0.40816326530612246,0.3979591836734694,0,0.0,1,0.0,,,0.0,1.3979591836734695
71,LQ-01-61-52_pos.mzXML,Gymnosporia senegalensis,Gymnosporia senegalensis|Leaves,0.45161290322580644,0.3951612903225806,31,292.0,0,0.0,"{'Labdane diterpenoids', 'Other Eicosanoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Purine nucleotides', 'Prostaglandins', 'Flavonols', 'Menthane monoterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Flavones', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Dicarboxylic acids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Cyanogenic glycosides', 'Megastigmanes', 'Wax monoesters', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Other Eicosanoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Prostaglandins', 'Flavonols', 'Menthane monoterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Unsaturated fatty acids', 'Flavones', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Dicarboxylic acids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Fatty aldehydes', 'Cyanogenic glycosides', 'Megastigmanes', 'Wax monoesters', 'Primary amides', 'Purine nucleotides'}",1.0,1.3951612903225805
72,LQ-01-61-52_pos.mzXML,Gymnosporia senegalensis,Gymnosporia senegalensis|Leaves,0.45161290322580644,0.3951612903225806,46,292.0,0,0.0,"{'Labdane diterpenoids', 'Other Eicosanoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Purine nucleotides', 'Prostaglandins', 'Flavonols', 'Menthane monoterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Flavones', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Dicarboxylic acids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Cyanogenic glycosides', 'Megastigmanes', 'Wax monoesters', 'Primary amides', 'Fatty aldehydes'}","{'Labdane diterpenoids', 'Other Eicosanoids', 'Fatty acyl glycosides of mono- and disaccharides', 'Prostaglandins', 'Flavonols', 'Menthane monoterpenoids', 'Vitamin D2 and derivatives', 'Open-chain polyketides', 'Purine nucleosides', 'Limonoids', 'Unsaturated fatty acids', 'Flavones', 'Other Octadecanoids', 'Nitro fatty acids', 'Cholestane steroids', 'Dicarboxylic acids', 'Sphingoid bases', 'Neutral glycosphingolipids', 'Tetracyclic diterpenoids', 'Hydroxy fatty acids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Agarofuran sesquiterpenoids', 'Fatty aldehydes', 'Cyanogenic glycosides', 'Megastigmanes', 'Wax monoesters', 'Primary amides', 'Purine nucleotides'}",1.0,1.3951612903225805
75,LQ-01-61-21_pos.mzXML,Euonymus cochinchinensis,Euonymus cochinchinensis|Branche,0.46218487394957986,0.3865546218487395,0,0.0,1,0.0,,,0.0,1.3865546218487395
76,LQ-01-61-17_pos.mzXML,Euonymus bockii,Euonymus bockii|Roots,0.4,0.3764705882352941,0,0.0,1,0.0,,,0.0,1.3764705882352941
77,LQ-01-61-50_pos.mzXML,Gymnosporia buxifolia,Gymnosporia buxifolia|Roots,0.40609137055837563,0.37055837563451777,0,0.0,1,0.0,,,0.0,1.3705583756345177
78,LQ-01-61-75_pos.mzXML,Tripterygium wilfordii,Tripterygium wilfordii|Stems,0.40816326530612246,0.3673469387755102,1169,1608.0,0,0.0,"{'Simple coumarins', 'Corynanthe type', 'Cyclophytane diterpenoids', 'Hapalindole alkaloids', 'Prostaglandins', 'Dibenzylbutane lignans', 'Aminoacids', 'Vitamin D2 and derivatives', 'Unsaturated fatty acids', 'Flavan-3-ols', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Monoacylglycerols', 'Azaphilones', 'Proanthocyanins', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Dicarboxylic acids', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Sphingoid bases', 'Tetracyclic diterpenoids', 'Aminosugars', 'Purine alkaloids', 'Hydroxy fatty acids', 'Quassinoids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Androstane steroids', 'Cyanogenic glycosides', 'Jasmonic acids', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Dipeptides', 'Cyclic peptides', 'Dibenzocyclooctadienes lignans', 'Primary amides'}","{'Simple coumarins', 'Corynanthe type', 'Cyclophytane diterpenoids', 'Hapalindole alkaloids', 'Prostaglandins', 'Dibenzylbutane lignans', 'Aminoacids', 'Vitamin D2 and derivatives', 'Flavan-3-ols', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Monoacylglycerols', 'Azaphilones', 'Proanthocyanins', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Diacylglycerols', 'Straight chain fatty acids', 'Eremophilane sesquiterpenoids', 'Sphingoid bases', 'Tetracyclic diterpenoids', 'Aminosugars', 'Purine alkaloids', 'Hydroxy fatty acids', 'Quassinoids', 'Cinnamic acids and derivatives', 'Cholane steroids', 'Androstane steroids', 'Cyanogenic glycosides', 'Jasmonic acids', 'Aminoglycosides', 'Carotenoids (C40, β-β)', 'Dipeptides', 'Cyclic peptides', 'Dibenzocyclooctadienes lignans', 'Primary amides'}",1.0,1.3673469387755102
79,LQ-01-61-26_pos.mzXML,Euonymus dielsianus,Euonymus dielsianus|Leaves,0.4230769230769231,0.36538461538461536,0,0.0,1,0.0,,,0.0,1.3653846153846154
81,LQ-01-61-24_pos.mzXML,Euonymus dielsianus,Euonymus dielsianus|Roots,0.4,0.35555555555555557,0,0.0,1,0.0,,,0.0,1.3555555555555556
82,LQ-01-61-13_pos.mzXML,Evonymopsis sp,Evonymopsis sp|Stems,0.4186046511627907,0.3333333333333333,0,0.0,1,0.0,,,0.0,1.3333333333333333
83,LQ-01-61-49_pos.mzXML,Gymnosporia buxifolia,Gymnosporia buxifolia|Stems,0.3333333333333333,0.3333333333333333,0,0.0,1,0.0,,,0.0,1.3333333333333333
85,LQ-01-61-30_pos.mzXML,Euonymus alatus,Euonymus alatus|Leaves,0.36619718309859156,0.33098591549295775,93,515.0,0,0.0,"{'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Dihydroflavonols', 'Prostaglandins', 'Methyl xanthones', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Other Docosanoids', 'Primary amides', 'Flavanones', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Zearalenones', 'Dicarboxylic acids', 'Simple phenolic acids', 'Sphingoid bases', 'Fatty alcohols', 'Polyether ionophores', 'Cholane steroids', 'Hydroxy-hydroperoxyeicosatrienoic acids', 'Pregnane steroids', 'Erythromycins'}","{'Fatty acyl glycosides of mono- and disaccharides', 'Lupane triterpenoids', 'Dihydroflavonols', 'Prostaglandins', 'Methyl xanthones', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Purine nucleosides', 'Unsaturated fatty acids', 'Other Octadecanoids', 'Fatty acyl carnitines', 'Other Docosanoids', 'Flavanones', 'Cholestane steroids', 'Prenyl quinone meroterpenoids', 'Zearalenones', 'Dicarboxylic acids', 'Simple phenolic acids', 'Pregnane steroids', 'Sphingoid bases', 'Fatty alcohols', 'Polyether ionophores', 'Cholane steroids', 'Hydroxy-hydroperoxyeicosatrienoic acids', 'Primary amides', 'Erythromycins'}",1.0,1.3309859154929577
86,LQ-01-61-48_pos.mzXML,Gymnosporia buxifolia,Gymnosporia buxifolia|Leaves,0.43795620437956206,0.3284671532846715,0,0.0,1,0.0,,,0.0,1.3284671532846715
88,LQ-01-61-65_pos.mzXML,Salacia chinensis,Salacia chinensis|Leaves,0.3037974683544304,0.27848101265822783,307,509.0,0,0.0,"{'Abeolupane triterpenoids', 'Simple coumarins', 'Aminoacids', 'Vitamin D2 and derivatives', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Unsaturated fatty acids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Primary amides', 'Flavanones', 'Cholestane steroids', 'Dicarboxylic acids', 'Sphingoid bases', 'Quassinoids', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Pregnane steroids'}","{'Abeolupane triterpenoids', 'Simple coumarins', 'Aminoacids', 'Vitamin D2 and derivatives', 'Tetraketide meroterpenoids', 'Open-chain polyketides', 'Apocarotenoids (β-)', 'Limonoids', 'Lanostane, Tirucallane and Euphane triterpenoids', 'Unsaturated fatty acids', 'Monoacylglycerols', 'N-acyl ethanolamines (endocannabinoids)', 'Flavanones', 'Cholestane steroids', 'Dicarboxylic acids', 'Pregnane steroids', 'Sphingoid bases', 'Quassinoids', 'Dipeptides', 'Secoiridoid monoterpenoids', 'Primary amides'}",1.0,1.2784810126582278
